Image,Method,Model,Category,Precision,Recall
"IMG_1380","model","mature","mature",0.714,0.625
"IMG_1398","model","mature","mature",0.833,0.625
"IMG_1424","model","mature","mature",1,0.875
"IMG_1487","model","mature","mature",0.571,0.666
"IMG_1507","model","mature","mature",1,0.875
"IMG_1516","model","mature","mature",0.833,0.625
"IMG_5252","model","mature","mature",0.625,0.714
"IMG_5298","model","mature","mature",0.571,0.571
"IMG_5348","model","mature","mature",0.714,0.833
"IMG_5414","model","mature","mature",0.555,0.625
"IMG_4721","model","mature","juvenile",0.5,0.666
"IMG_4728","model","mature","juvenile",0.833,0.714
"IMG_4737","model","mature","juvenile",0.6,0.857
"IMG_4772","model","mature","juvenile",0.875,0.875
"IMG_4785","model","mature","juvenile",0.857,0.857
"IMG_4799","model","mature","juvenile",0.857,0.857
"IMG_4805","model","mature","juvenile",0.75,0.75
"IMG_4825","model","mature","juvenile",0.875,0.875
"IMG_4836","model","mature","juvenile",0.833,0.714
"IMG_4844","model","mature","juvenile",0.714,0.625
"IMG_1380","graph","mature","mature",0.625,0.625
"IMG_1398","graph","mature","mature",0.857,0.75
"IMG_1424","graph","mature","mature",0.875,0.875
"IMG_1487","graph","mature","mature",0.375,0.5
"IMG_1507","graph","mature","mature",1,0.875
"IMG_1516","graph","mature","mature",0.833,0.625
"IMG_5252","graph","mature","mature",0.5,0.714
"IMG_5298","graph","mature","mature",0.4,0.286
"IMG_5348","graph","mature","mature",0.714,0.833
"IMG_5414","graph","mature","mature",0.833,0.625
"IMG_4721","graph","mature","juvenile",0.333,0.333
"IMG_4728","graph","mature","juvenile",0.833,0.714
"IMG_4737","graph","mature","juvenile",0.666,0.857
"IMG_4772","graph","mature","juvenile",0.875,0.875
"IMG_4785","graph","mature","juvenile",0.571,0.571
"IMG_4799","graph","mature","juvenile",0.857,0.857
"IMG_4805","graph","mature","juvenile",0.714,0.625
"IMG_4825","graph","mature","juvenile",0.75,0.75
"IMG_4836","graph","mature","juvenile",0.666,0.571
"IMG_4844","graph","mature","juvenile",0.714,0.625
