Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
graph,juvenile,juvenile,0.983,0.797,0.8802820224719101123595505618,0.03,0.3
graph,juvenile,juvenile,0.983,0.797,0.8802820224719101123595505618,0.03,0.5
graph,juvenile,juvenile,0.983,0.797,0.8802820224719101123595505618,0.03,0.7
graph,juvenile,juvenile,0.983,0.797,0.8802820224719101123595505618,0.03,0.9
graph,juvenile,mature,0.688,0.297,0.4148954314720812182741116751,0.03,0.9
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.03,0.3
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.03,0.5
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.03,0.7
graph,mature,juvenile,0.619,0.703,0.6583313161875945537065052950,0.03,0.3
graph,mature,juvenile,0.658,0.703,0.6797560617193240264511388685,0.03,0.5
graph,mature,juvenile,0.658,0.703,0.6797560617193240264511388685,0.03,0.7
graph,mature,juvenile,0.658,0.703,0.6797560617193240264511388685,0.03,0.9
graph,mature,mature,0.662,0.689,0.6752301998519615099925980755,0.03,0.5
graph,mature,mature,0.662,0.689,0.6752301998519615099925980755,0.03,0.7
graph,mature,mature,0.667,0.703,0.6845270072992700729927007299,0.03,0.3
graph,mature,mature,0.671,0.662,0.6664696174043510877719429857,0.03,0.9
model,juvenile,juvenile,0.918,0.757,0.8297623880597014925373134328,0.03,0.9
model,juvenile,juvenile,0.934,0.770,0.8441079812206572769953051643,0.03,0.3
model,juvenile,juvenile,0.934,0.770,0.8441079812206572769953051643,0.03,0.5
model,juvenile,juvenile,0.934,0.770,0.8441079812206572769953051643,0.03,0.7
model,juvenile,mature,0.722,0.351,0.4723616029822926374650512582,0.03,0.9
model,juvenile,mature,0.730,0.365,0.4866666666666666666666666667,0.03,0.3
model,juvenile,mature,0.730,0.365,0.4866666666666666666666666667,0.03,0.5
model,juvenile,mature,0.730,0.365,0.4866666666666666666666666667,0.03,0.7
model,mature,juvenile,0.635,0.730,0.6791941391941391941391941392,0.03,0.3
model,mature,juvenile,0.667,0.757,0.7091558988764044943820224719,0.03,0.5
model,mature,juvenile,0.667,0.757,0.7091558988764044943820224719,0.03,0.7
model,mature,juvenile,0.691,0.757,0.7224958563535911602209944751,0.03,0.9
model,mature,mature,0.653,0.635,0.6438742236024844720496894410,0.03,0.7
model,mature,mature,0.653,0.635,0.6438742236024844720496894410,0.03,0.9
model,mature,mature,0.658,0.649,0.6534690130068859984697781178,0.03,0.5
model,mature,mature,0.681,0.662,0.6713655994043186895011169025,0.03,0.3
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.04,0.3
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.04,0.5
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.04,0.7
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.04,0.9
graph,juvenile,mature,0.688,0.297,0.4148954314720812182741116751,0.04,0.9
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.04,0.3
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.04,0.5
graph,juvenile,mature,0.697,0.311,0.4300932539682539682539682540,0.04,0.7
graph,mature,juvenile,0.646,0.716,0.6792011747430249632892804699,0.04,0.3
graph,mature,juvenile,0.662,0.716,0.6879419448476052249637155298,0.04,0.5
graph,mature,juvenile,0.662,0.716,0.6879419448476052249637155298,0.04,0.7
graph,mature,juvenile,0.662,0.716,0.6879419448476052249637155298,0.04,0.9
graph,mature,mature,0.662,0.662,0.662,0.04,0.7
graph,mature,mature,0.667,0.649,0.6578768996960486322188449848,0.04,0.9
graph,mature,mature,0.667,0.676,0.6714698436336559940431868950,0.04,0.5
graph,mature,mature,0.671,0.689,0.6798808823529411764705882353,0.04,0.3
model,juvenile,juvenile,0.915,0.730,0.8120972644376899696048632219,0.04,0.9
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.04,0.3
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.04,0.5
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.04,0.7
model,juvenile,mature,0.694,0.338,0.4545968992248062015503875969,0.04,0.9
model,juvenile,mature,0.703,0.351,0.4682220113851992409867172676,0.04,0.3
model,juvenile,mature,0.703,0.351,0.4682220113851992409867172676,0.04,0.5
model,juvenile,mature,0.703,0.351,0.4682220113851992409867172676,0.04,0.7
model,mature,juvenile,0.639,0.716,0.6753121771217712177121771218,0.04,0.3
model,mature,juvenile,0.671,0.743,0.7051669024045261669024045262,0.04,0.5
model,mature,juvenile,0.671,0.743,0.7051669024045261669024045262,0.04,0.7
model,mature,juvenile,0.696,0.743,0.7187324530924252953439888812,0.04,0.9
model,mature,mature,0.671,0.635,0.6525038284839203675344563553,0.04,0.9
model,mature,mature,0.686,0.649,0.6669872659176029962546816479,0.04,0.7
model,mature,mature,0.718,0.689,0.7032011371712864250177683014,0.04,0.5
model,mature,mature,0.722,0.703,0.7123733333333333333333333333,0.04,0.3
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.05,0.9
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.05,0.3
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.05,0.5
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.05,0.7
graph,juvenile,mature,0.677,0.284,0.4001415192507804370447450572,0.05,0.9
graph,juvenile,mature,0.719,0.311,0.4341922330097087378640776699,0.05,0.3
graph,juvenile,mature,0.719,0.311,0.4341922330097087378640776699,0.05,0.5
graph,juvenile,mature,0.719,0.311,0.4341922330097087378640776699,0.05,0.7
graph,mature,juvenile,0.662,0.662,0.662,0.05,0.3
graph,mature,juvenile,0.671,0.662,0.6664696174043510877719429857,0.05,0.5
graph,mature,juvenile,0.671,0.662,0.6664696174043510877719429857,0.05,0.7
graph,mature,juvenile,0.671,0.662,0.6664696174043510877719429857,0.05,0.9
graph,mature,mature,0.694,0.676,0.6848817518248175182481751825,0.05,0.5
graph,mature,mature,0.699,0.689,0.6939639769452449567723342939,0.05,0.3
graph,mature,mature,0.710,0.662,0.6851603498542274052478134111,0.05,0.9
graph,mature,mature,0.721,0.662,0.6902415039768618944323933478,0.05,0.7
model,juvenile,juvenile,0.915,0.730,0.8120972644376899696048632219,0.05,0.9
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.05,0.3
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.05,0.5
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.05,0.7
model,juvenile,mature,0.686,0.324,0.4401267326732673267326732673,0.05,0.9
model,juvenile,mature,0.694,0.338,0.4545968992248062015503875969,0.05,0.3
model,juvenile,mature,0.694,0.338,0.4545968992248062015503875969,0.05,0.5
model,juvenile,mature,0.694,0.338,0.4545968992248062015503875969,0.05,0.7
model,mature,juvenile,0.684,0.730,0.7062517680339462517680339463,0.05,0.3
model,mature,juvenile,0.718,0.757,0.7369844067796610169491525424,0.05,0.5
model,mature,juvenile,0.718,0.757,0.7369844067796610169491525424,0.05,0.7
model,mature,juvenile,0.724,0.743,0.7333769597818677573278800273,0.05,0.9
model,mature,mature,0.706,0.649,0.6763011070110701107011070111,0.05,0.9
model,mature,mature,0.731,0.662,0.6947910983488872936109117014,0.05,0.7
model,mature,mature,0.732,0.703,0.7172069686411149825783972125,0.05,0.5
model,mature,mature,0.736,0.716,0.7258622589531680440771349862,0.05,0.3
graph,juvenile,juvenile,0.983,0.770,0.8635596120935539075869937250,0.06,0.9
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.06,0.3
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.06,0.5
graph,juvenile,juvenile,1.000,0.784,0.8789237668161434977578475336,0.06,0.7
graph,juvenile,mature,0.677,0.284,0.4001415192507804370447450572,0.06,0.9
graph,juvenile,mature,0.710,0.297,0.4188083416087388282025819265,0.06,0.3
graph,juvenile,mature,0.710,0.297,0.4188083416087388282025819265,0.06,0.5
graph,juvenile,mature,0.710,0.297,0.4188083416087388282025819265,0.06,0.7
graph,mature,juvenile,0.694,0.676,0.6848817518248175182481751825,0.06,0.3
graph,mature,juvenile,0.704,0.676,0.6897159420289855072463768116,0.06,0.5
graph,mature,juvenile,0.704,0.676,0.6897159420289855072463768116,0.06,0.7
graph,mature,juvenile,0.704,0.676,0.6897159420289855072463768116,0.06,0.9
graph,mature,mature,0.694,0.676,0.6848817518248175182481751825,0.06,0.5
graph,mature,mature,0.699,0.689,0.6939639769452449567723342939,0.06,0.3
graph,mature,mature,0.710,0.662,0.6851603498542274052478134111,0.06,0.9
graph,mature,mature,0.721,0.662,0.6902415039768618944323933478,0.06,0.7
model,juvenile,juvenile,0.915,0.730,0.8120972644376899696048632219,0.06,0.9
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.06,0.3
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.06,0.5
model,juvenile,juvenile,0.932,0.743,0.8268370149253731343283582090,0.06,0.7
model,juvenile,mature,0.686,0.324,0.4401267326732673267326732673,0.06,0.9
