Method,Label,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
graph,arm,juvenile,juvenile,1.000,0.700,0.8235294117647058823529411765,0.03,0.3
graph,arm,juvenile,juvenile,1.000,0.700,0.8235294117647058823529411765,0.03,0.5
graph,arm,juvenile,juvenile,1.000,0.700,0.8235294117647058823529411765,0.03,0.7
graph,arm,juvenile,juvenile,1.000,0.700,0.8235294117647058823529411765,0.03,0.9
graph,arm,juvenile,mature,0.750,0.500,0.600,0.03,0.9
graph,arm,juvenile,mature,0.778,0.583,0.6665304922850844966936076414,0.03,0.3
graph,arm,juvenile,mature,0.778,0.583,0.6665304922850844966936076414,0.03,0.5
graph,arm,juvenile,mature,0.778,0.583,0.6665304922850844966936076414,0.03,0.7
graph,arm,mature,juvenile,0.345,0.500,0.4082840236686390532544378698,0.03,0.3
graph,arm,mature,juvenile,0.385,0.500,0.4350282485875706214689265537,0.03,0.5
graph,arm,mature,juvenile,0.385,0.500,0.4350282485875706214689265537,0.03,0.7
graph,arm,mature,juvenile,0.385,0.500,0.4350282485875706214689265537,0.03,0.9
graph,arm,mature,mature,0.211,0.200,0.2053527980535279805352798054,0.03,0.9
graph,arm,mature,mature,0.238,0.250,0.2438524590163934426229508197,0.03,0.3
graph,arm,mature,mature,0.286,0.300,0.2928327645051194539249146758,0.03,0.5
graph,arm,mature,mature,0.318,0.350,0.3332335329341317365269461078,0.03,0.7
graph,back,juvenile,juvenile,0.500,1.000,0.6666666666666666666666666667,0.03,0.3
graph,back,juvenile,juvenile,0.500,1.000,0.6666666666666666666666666667,0.03,0.5
graph,back,juvenile,juvenile,0.500,1.000,0.6666666666666666666666666667,0.03,0.7
graph,back,juvenile,juvenile,0.500,1.000,0.6666666666666666666666666667,0.03,0.9
graph,back,juvenile,mature,0.167,0.200,0.1820163487738419618528610354,0.03,0.3
graph,back,juvenile,mature,0.167,0.200,0.1820163487738419618528610354,0.03,0.5
graph,back,juvenile,mature,0.167,0.200,0.1820163487738419618528610354,0.03,0.7
graph,back,juvenile,mature,0.167,0.200,0.1820163487738419618528610354,0.03,0.9
graph,back,mature,juvenile,0.067,0.167,0.09563247863247863247863247863,0.03,0.3
graph,back,mature,juvenile,0.067,0.167,0.09563247863247863247863247863,0.03,0.5
graph,back,mature,juvenile,0.067,0.167,0.09563247863247863247863247863,0.03,0.7
graph,back,mature,juvenile,0.067,0.167,0.09563247863247863247863247863,0.03,0.9
