Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,mature,mature,0.867,0.176,0.2926021093,0.55,0.9
graph,mature,mature,0.867,0.176,0.2926021093,0.55,0.9
model,mature,juvenile,0.783,0.243,0.370894736842,0.55,0.9
graph,mature,juvenile,0.783,0.243,0.370894736842,0.55,0.9
model,juvenile,mature,0.762,0.216,0.336588957055,0.55,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.55,0.9
model,juvenile,juvenile,0.944,0.459,0.617670705631,0.55,0.9
graph,juvenile,juvenile,0.938,0.405,0.565733432614,0.55,0.9
model,mature,mature,0.768,0.581,0.661538917717,0.08,0.3
graph,mature,mature,0.71,0.595,0.647432950192,0.08,0.3
model,mature,juvenile,0.693,0.703,0.697964183381,0.08,0.3
graph,mature,juvenile,0.696,0.649,0.671678810409,0.08,0.3
model,juvenile,mature,0.694,0.338,0.454596899225,0.08,0.3
graph,juvenile,mature,0.71,0.297,0.418808341609,0.08,0.3
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.08,0.3
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.08,0.3
model,mature,mature,0.722,0.703,0.712373333333,0.04,0.3
graph,mature,mature,0.671,0.689,0.679880882353,0.04,0.3
model,mature,juvenile,0.639,0.716,0.675312177122,0.04,0.3
graph,mature,juvenile,0.646,0.716,0.679201174743,0.04,0.3
model,juvenile,mature,0.703,0.351,0.468222011385,0.04,0.3
graph,juvenile,mature,0.697,0.311,0.430093253968,0.04,0.3
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.04,0.3
graph,juvenile,juvenile,0.983,0.77,0.863559612094,0.04,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.18,0.5
graph,mature,mature,0.757,0.378,0.504222026432,0.18,0.5
model,mature,juvenile,0.79,0.662,0.720358126722,0.18,0.5
graph,mature,juvenile,0.759,0.595,0.667067946824,0.18,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.18,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.18,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.18,0.5
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.18,0.5
model,mature,mature,0.776,0.514,0.61839379845,0.10,0.5
graph,mature,mature,0.745,0.514,0.608308181096,0.10,0.5
model,mature,juvenile,0.75,0.73,0.739864864865,0.10,0.5
graph,mature,juvenile,0.721,0.662,0.690241503977,0.10,0.5
model,juvenile,mature,0.694,0.338,0.454596899225,0.10,0.5
graph,juvenile,mature,0.71,0.297,0.418808341609,0.10,0.5
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.10,0.5
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.10,0.5
model,mature,mature,0.774,0.324,0.456786885246,0.27,0.3
graph,mature,mature,0.769,0.27,0.399672762271,0.27,0.3
model,mature,juvenile,0.7,0.473,0.564535379369,0.27,0.3
graph,mature,juvenile,0.706,0.486,0.575697986577,0.27,0.3
model,juvenile,mature,0.7,0.284,0.40406504065,0.27,0.3
graph,juvenile,mature,0.643,0.243,0.352706546275,0.27,0.3
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.27,0.3
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.27,0.3
model,mature,mature,0.867,0.176,0.2926021093,0.55,0.7
graph,mature,mature,0.867,0.176,0.2926021093,0.55,0.7
model,mature,juvenile,0.783,0.243,0.370894736842,0.55,0.7
graph,mature,juvenile,0.783,0.243,0.370894736842,0.55,0.7
model,juvenile,mature,0.762,0.216,0.336588957055,0.55,0.7
