Method,Label,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,claw,mature,juvenile,0.571,0.308,0.400154721274,0.45,0.5
model,body,mature,juvenile,1.0,1.0,1.0,0.45,0.5
model,head,mature,juvenile,0.571,0.571,0.571,0.45,0.5
model,arm,mature,juvenile,0.563,0.563,0.563,0.45,0.5
graph,claw,mature,juvenile,0.571,0.308,0.400154721274,0.45,0.5
graph,body,mature,juvenile,1.0,1.0,1.0,0.45,0.5
graph,arm,mature,juvenile,0.5,0.5,0.5,0.45,0.5
graph,head,mature,juvenile,0.714,0.714,0.714,0.45,0.5
model,claw,mature,mature,0.8,0.444,0.571061093248,0.45,0.5
model,head,mature,mature,0.4,0.4,0.4,0.45,0.5
model,arm,mature,mature,0.571,0.4,0.47044284243,0.45,0.5
model,body,mature,mature,1.0,1.0,1.0,0.45,0.5
graph,claw,mature,mature,0.8,0.444,0.571061093248,0.45,0.5
graph,body,mature,mature,1.0,1.0,1.0,0.45,0.5
graph,arm,mature,mature,0.571,0.4,0.47044284243,0.45,0.5
graph,head,mature,mature,0.4,0.4,0.4,0.45,0.5
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.45,0.5
model,head,juvenile,juvenile,1.0,1.0,1.0,0.45,0.5
model,body,juvenile,juvenile,1.0,1.0,1.0,0.45,0.5
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.45,0.5
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.45,0.5
graph,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.45,0.5
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.45,0.5
graph,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.45,0.5
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.45,0.5
model,tail,juvenile,mature,1.0,1.0,1.0,0.45,0.5
model,head,juvenile,mature,0.4,0.4,0.4,0.45,0.5
model,body,juvenile,mature,1.0,1.0,1.0,0.45,0.5
model,arm,juvenile,mature,0.857,0.6,0.705833905285,0.45,0.5
model,claw,juvenile,mature,0.5,0.25,0.333333333333,0.45,0.5
graph,claw,juvenile,mature,0.5,0.25,0.333333333333,0.45,0.5
graph,body,juvenile,mature,1.0,1.0,1.0,0.45,0.5
graph,arm,juvenile,mature,0.857,0.6,0.705833905285,0.45,0.5
graph,head,juvenile,mature,0.4,0.4,0.4,0.45,0.5
model,arm,mature,mature,0.435,0.5,0.465240641711,0.04,0.7
model,back,mature,mature,0.182,0.286,0.222444444444,0.04,0.7
model,tail,mature,mature,0.714,0.714,0.714,0.04,0.7
model,claw,mature,mature,0.7,0.389,0.500091827365,0.04,0.7
model,head,mature,mature,0.182,0.222,0.20001980198,0.04,0.7
model,body,mature,mature,0.909,1.0,0.952331063384,0.04,0.7
graph,arm,mature,mature,0.348,0.4,0.372192513369,0.04,0.7
graph,back,mature,mature,0.333,0.714,0.45417765043,0.04,0.7
graph,tail,mature,mature,0.625,0.625,0.625,0.04,0.7
graph,head,mature,mature,0.2,0.222,0.210426540284,0.04,0.7
graph,claw,mature,mature,0.7,0.389,0.500091827365,0.04,0.7
graph,body,mature,mature,0.909,1.0,0.952331063384,0.04,0.7
model,arm,mature,juvenile,0.4,0.6,0.48,0.04,0.7
model,back,mature,juvenile,0.091,0.167,0.11780620155,0.04,0.7
model,tail,mature,juvenile,0.25,0.25,0.25,0.04,0.7
model,claw,mature,juvenile,0.5,0.278,0.357326478149,0.04,0.7
model,head,mature,juvenile,0.7,0.7,0.7,0.04,0.7
model,body,mature,juvenile,0.714,1.0,0.833138856476,0.04,0.7
graph,arm,mature,juvenile,0.385,0.5,0.435028248588,0.04,0.7
graph,back,mature,juvenile,0.063,0.167,0.0914869565217,0.04,0.7
graph,tail,mature,juvenile,0.222,0.222,0.222,0.04,0.7
graph,head,mature,juvenile,0.5,0.5,0.5,0.04,0.7
graph,claw,mature,juvenile,0.375,0.2,0.260869565217,0.04,0.7
graph,body,mature,juvenile,0.714,1.0,0.833138856476,0.04,0.7
model,arm,juvenile,mature,0.8,0.667,0.727471029312,0.04,0.7
model,back,juvenile,mature,0.2,0.25,0.222222222222,0.04,0.7
model,tail,juvenile,mature,0.8,0.8,0.8,0.04,0.7
model,claw,juvenile,mature,0.4,0.222,0.285530546624,0.04,0.7
model,head,juvenile,mature,0.333,0.333,0.333,0.04,0.7
model,body,juvenile,mature,1.0,1.0,1.0,0.04,0.7
graph,arm,juvenile,mature,0.778,0.583,0.666530492285,0.04,0.7
graph,back,juvenile,mature,0.167,0.2,0.182016348774,0.04,0.7
graph,tail,juvenile,mature,0.0,0.0,0,0.04,0.7
graph,head,juvenile,mature,0.333,0.333,0.333,0.04,0.7
graph,claw,juvenile,mature,0.5,0.286,0.363867684478,0.04,0.7
graph,body,juvenile,mature,1.0,1.0,1.0,0.04,0.7
model,arm,juvenile,juvenile,0.857,0.6,0.705833905285,0.04,0.7
model,back,juvenile,juvenile,0.5,0.6,0.545454545455,0.04,0.7
model,tail,juvenile,juvenile,1.0,1.0,1.0,0.04,0.7
model,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.04,0.7
model,head,juvenile,juvenile,0.9,0.9,0.9,0.04,0.7
model,body,juvenile,juvenile,1.0,1.0,1.0,0.04,0.7
graph,arm,juvenile,juvenile,1.0,0.7,0.823529411765,0.04,0.7
graph,back,juvenile,juvenile,0.455,0.833,0.588532608696,0.04,0.7
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.04,0.7
graph,head,juvenile,juvenile,0.9,0.9,0.9,0.04,0.7
graph,claw,juvenile,juvenile,1.0,0.556,0.714652956298,0.04,0.7
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.04,0.7
model,claw,mature,mature,0.667,0.364,0.470975751697,0.27,0.9
model,tail,mature,mature,0.75,0.75,0.75,0.27,0.9
model,body,mature,mature,1.0,1.0,1.0,0.27,0.9
model,arm,mature,mature,0.3,0.25,0.272727272727,0.27,0.9
model,head,mature,mature,0.333,0.333,0.333,0.27,0.9
graph,body,mature,mature,1.0,1.0,1.0,0.27,0.9
graph,claw,mature,mature,0.667,0.364,0.470975751697,0.27,0.9
graph,head,mature,mature,0.333,0.333,0.333,0.27,0.9
graph,arm,mature,mature,0.333,0.25,0.285591766724,0.27,0.9
model,body,mature,juvenile,1.0,1.0,1.0,0.27,0.9
model,claw,mature,juvenile,0.571,0.308,0.400154721274,0.27,0.9
model,arm,mature,juvenile,0.591,0.65,0.619097502015,0.27,0.9
model,head,mature,juvenile,0.7,0.7,0.7,0.27,0.9
